Lookup,Act and section under which proceedings can be taken,Offence description,Magistrates' Courts: Maximum sentence *[12 months] or [51 weeks] on commencement of SS.154(1) or 281(5) CJA 2003,Magistrates' Courts: Offense classification: When committed for trial to the Crown Court or discharge under S.6 MCA 1988,Magistrates' Courts: Offense classification: when dealt with: under 18,Magistrates' Courts: Offense classification: when dealt with: 18 and over,Crown Court:Maximum sentence, Crown Court: Offense classification: For trial,Crown Court:Maximum sentence, Crown Court: Offense classification: For sentence only following conviction in lower court, Record as an offence on form Crimsec 3?, Year of insertion into code books
10437,Serious Organised Crime and Police Act 2005,S.67 (3)&(4),Obstructing a person in the exercise of any rights conferred by a warrant under S.66 - power to enter and seize documents / CJS: SO05009,51 weeks [6 months] or L5 or both* ,-,104/37,104/37,-,-,104/37,No,2009 or earlier
13812,Serious Organised Crime and Police Act 2005,S.79 (10)(I),Failing to comply or including false or misleading information in a financial reporting order / CJS: SO05010,12 months [6 months] or L5 or both* ,-,138/12,138/12,-,-,138/12,No,2009 or earlier
9524,Serious Organised Crime and Police Act 2005,S.86 ,Disclosing information about protection arrangements / CJS: SO05011,12 months [6 months] or L5 or both* ,S 95/24,S 95/24,S 95/24,2 years,S 95/24,S 95/24,Yes,2009 or earlier
9525,Serious Organised Crime and Police Act 2005,S.88,Disclosing information relating to persons assuming new identity / CJS: SO05012-13,12 months [6 months] or L5 or both* ,S 95/25,S 95/25,S 95/25,2 years,S 95/25,S 95/25,Yes,2009 or earlier
12567,Serious Organised Crime and Police Act 2005,S 112,Failing to obey a police direction to leave an exclusion area / CJS: SO05001,51 weeks [4 months] or L4 or both* ,-,125/67,125/67,-,-,125/67,No,2009 or earlier
12569,Serious Organised Crime and Police Act 2005,S.128,Trespassing on sites designated by order of Secretary of State / CJS: SO05014,51 weeks [6 months] or L5 or both* ,-,125/69,125/69,-,-,125/69,No,2009 or earlier
12570,Serious Organised Crime and Police Act 2005,S.132(1)(a) & 136(1),Organising a demonstration in a public place in the designated area / CJS: SO05015,51 weeks [3 months] or L4 or both* ,-,125/70,125/70,-,-,125/70,No,2009 or earlier
12571,Serious Organised Crime and Police Act 2005,SS.132(1) (b) & (c) & 136(2),"Taking part in a demonstration, or carrying out a demonstration alone, without authorisation in a designated area / CJS: SO05016-17",L3,-,125/71,125/71,-,-,125/71,No,2009 or earlier
12573,Serious Organised Crime and Police Act 2005,"SS.132(1) (abc), 134(7), 135(3) & S.136(4)","Inciting another to do anything which would constitute an offence mentioned in ss.(1), (2) or (3) or failing to do anything where the failure would constitute such an offence / CJS: SO05020",51 weeks [3 months] or L4 or both* ,-,125/73,125/73,-,-,125/73,No,2009 or earlier
12572,Serious Organised Crime and Police Act 2005,"SS.134 (7), 135 (3) & 136 (3)(a)",Failure to comply with a condition or to diverge from the particulars specified in the authorisation in his capacity as an organiser / CJS: SO05018,51 weeks [3 months] or L4 or both* ,-,125/72,125/72,-,-,125/72,No,2009 or earlier
12572,Serious Organised Crime and Police Act 2005,SS.134(7) & 136(3)(b) ,Failure to comply with a condition or to diverge from the particulars specified in the authorisation / CJS: SO05019,L3,-,125/72,125/72,-,-,125/72,No,2009 or earlier
12574,Serious Organised Crime and Police Act 2005,S.137 (1)&(4),Operating or permitting the operation of a loudspeaker in contravention of ss (1) (loudspeaker shall not be operated in designated area) / CJS: SO05021-22,L5 together with a further fine not exceeding £50 for each day on which the offence continues after conviction,-,125/74,125/74,-,-,125/74,No,2009 or earlier
6642,Serious Organised Crime and Police Act 2005,SS.145 & 147,Interference with contractual relationships so as to harm animal research organisation / CJS: SO05023 / Proceedings cannot be instituted except by or with the consent of the DPP,12 months [6 months] or L5 or both* ,S 66/42,S 66/42,S 66/42,5 years,S 66/42,S 66/42,Yes,2009 or earlier
6643,Serious Organised Crime and Police Act 2005,SS.146 & S.147,Intimidation of persons connected with animal research organisation / CJS: SO05024 / Proceedings cannot be instituted except by or with the consent of the DPP,12 months [6 months] or L5 or both* ,S 66/43,S 66/43,S 66/43,5 years,S 66/43,S 66/43,Yes,2009 or earlier
10701,Sexual Offences Act 1956 ,S.33,Keeping a brothel / CJS: SX56057 & 96,3 months or L3,-,S 107/01,S 107/01,-,-,S 107/01,No,2009 or earlier
10705,Sexual Offences Act 1956 / as amended by / Sexual Offences Act 1967,S.33,Keeping a brothel for homosexual practices / CJS: SX56058 & 97,3 months or L3,-,S 107/05,S 107/05,-,-,S 107/05,No,2009 or earlier
2419,Sexual Offences Act 1956 / added by / Sexual Offences Act 2003,S.33A / S.55,Keeping a brothel for prostitution / CJS: SX56123,6 months or L5 or both,S 24/19,S 24/19,S 24/19,7 years,S 24/19,S 24/19,Yes,2009 or earlier
10702,Sexual Offences Act 1956 ,S.34,Letting premises for use as a brothel / CJS: SX56063,3 months or L3,-,S 107/02,S 107/02,-,-,S 107/02,No,2009 or earlier
10706,Sexual Offences Act 1956 / as amended by / Sexual Offences Act 1967,S.34,Letting premises for use as a brothel for homosexual practices / CJS: SX56064,3 months or L3,-,S 107/06,S 107/06,-,-,S 107/06,No,2009 or earlier
10703,Sexual Offences Act 1956 / as amended by / Sexual Offences Act 1967,S.35,Tenant permitting premises to be used as a brothel / CJS: SX56065 ,3 months or L3 ,-,S 107/03,S 107/03,-,-,S 107/03,No,2009 or earlier
10707,Sexual Offences Act 1956 / as amended by / Sexual Offences Act 1967,S.35,Tenant permitting premises to be used as a brothel for homosexual practices / CJS: SX56066,3 months or L3,-,S 107/07,S 107/07,-,-,S 107/07,No,2009 or earlier
10704,Sexual Offences Act 1956 ,S.36,Tenant permitting premises to be used for prostitution / CJS: SX56067,3 months or L3,-,S 107/04,S 107/04,-,-,S 107/04,No,2009 or earlier
16501,Sexual Offences Act 1985,S.1,Kerb-crawling / CJS: SX85001-4,L3,-,S 165/01,S 165/01,-,-,S 165/01,Yes,2009 or earlier
16502,Sexual Offences Act 1985 / Sexual Offences Act 2003 / Sexual Offences Act 2003 / Sexual Offences Act 2003 / Sexual Offences Act 2003 / Sexual Offences Act 2003 / Sexual Offences Act 2003 / Sexual Offences Act 2003 / Sexual Offences Act 2003 / Sexual Offences Act 2003 / Sexual Offences Act 2003,S.2 / S.1 / S.1 / S.1 / S.1 / S.1 / S.1 / S.1 / S.1 / S.2 / S.2,Persistent soliciting of person or persons for the purpose of prostitution / CJS: SX85007 / Rape of a female aged under 16 / CJS: SX03001 / Rape of a female aged 16 or over / CJS: SX03002 / Rape of a male aged under 16 / CJS: SX03003 / Rape of a male aged 16 or over / CJS: SX03004 / Attempted rape of a female aged under 16 / CJS: SX03001A / Attempted rape of a female aged16 or over / CJS: SX03002A / Attempted rape of a male aged under 16 / CJS: SX03003A / Attempted rape of a male aged16 or over / CJS: SX03004A / Assault on a male by penetration / CJS: SX03006 / Assault on a female by penetration / CJS: SX03005,L3 / - / - / - / - / - / - / - / - / - / -,- / S 19/07 / S 19/08 / S 19/09 / S 19/10 / S 19/11 / S 19/12 / S 19/13 / S 19/14 / S 17/13 / S 20/03,S 165/02 / S 19/07 / S 19/08 / S 19/09 / S 19/10 / S 19/11 / S 19/12 / S 19/13 / S 19/14 / S 17/13 / S 20/03,S 165/02 / - / - / - / - / - / - / - / - / - / -,- / Life / Life / Life / Life / Life / Life / Life / Life / Life / Life,- / S 19/07 / S 19/08 / S 19/09 / S 19/10 / S 19/11 / S 19/12 / S 19/13 / S 19/14 / S 17/13 / S 20/03,S 165/02 / - / - / - / - / - / - / - / - / - / -,Yes,2009 or earlier
1715,Sexual Offences Act 2003,S.3,Sexual assault on a male / CJS: SX03008,6 months or L5 or both,S 17/15,S 17/15,S 17/15,10 years,S 17/15,-,Yes,2009 or earlier
2005,Sexual Offences Act 2003 / Sexual Offences Act 2003 ,S.3 / S.4 (1)-(4) / S.4(1)-(4),Sexual assault on a female / CJS: SX03007 / Causing a female person to engage in sexual activity without consent - penetration / CJS: SX03011 / Causing a male person to engage in sexual activity without consent - penetration / CJS: SX03012,6 months or L5 or both / - / -,S 20/05 / S 22/02 / S 22/03,S 20/05 / S 22/02 / S 22/03,S 20/05 / - / -,10 years / Life / Life,S 20/05 / S 22/02 / S 22/03,-,Yes,2009 or earlier
2204,Sexual Offences Act 2003, S 4.(1)-(3) & (5),Causing a female person to engage in sexual activity without consent - no penetration / CJS: SX03009,6 months or L5 or both,S 22/04,S 22/04,S 22/04,10 years,S 22/04,S 22/04,Yes,2009 or earlier
2205,Sexual Offences Act 2003, S 4.(1)-(3) & (5) / S.5 / S.5 / S.5 / S.5 / S.6 / S.6,Causing a male person to engage in sexual activity without consent - no penetration / CJS: SX03010 / Rape of a female child under 13 by a male / CJS: SX03013 / Rape of a male child under 13 by a male / CJS: SX03014 / Attempted rape of a female child under 13 by a male / CJS: SX03013A / Attempted rape of a male child under 13 by a male / CJS: SX03014A / Assault of a male child under 13 by penetration / CJS: SX03016 / Assault of a female child under 13 by penetration / CJS: SX03014,6 months or L5 or both / - / - / - / - / - / -,S 22/05 / S 19/16 / S 19/17 / S 19/18 / S 19/19 / S 17/14 / S 20/04,S 22/05 / S 19/16 / S 19/17 / S 19/18 / S 19/19 / S 17/14 / S 20/04,S 22/05 / - / - / - / - / - / -,10 years / Life / Life / Life / Life / Life / Life,S 22/05 / S 19/16 / S 19/17 / S 19/18 / S 19/19 / S 17/14 / S 20/04,S 22/05 / - / - / - / - / - / -,Yes,2009 or earlier
1716,Sexual Offences Act 2003,S.7,Sexual assault of a male child under 13 / CJS: SX03018,6 months or L5 or both,S 17/16,S 17/16,S 17/16,14 years,S 17/16,S 17/16,Yes,2009 or earlier
2006,Sexual Offences Act 2003 / Sexual Offences Act 2003 / Sexual Offences Act 2003 / Sexual Offences Act 2003 / Sexual Offences Act 2003 / Sexual Offences Act 2003 / Sexual Offences Act 2003 / Sexual Offences Act 2003 / Sexual Offences Act 2003,"S.7 / S.8(1) & (2) / S.8(1) & (2) / S.8(1) & (3) / S.8(1) & (3) / S.9(1)(a), (b) & (c)(ii) & (2) / S.9(1)(a), (b) & (c)(ii) & (2) / S.9(1)(a), (b) & (c)(i) & (2) / S.9(1)(a), (b) & (c)(i) & (2)",Sexual assault of a female child under 13 / CJS: SX03017 / Causing or inciting a female child under13 to engage in sexual activity / CJS: SX03021 / Causing or inciting a male child under 13 to engage in sexual activity - penetration / CJS: SX03022 / Causing or inciting a female child under 13 to engage in sexual activity - no penetration / CJS: SX03019 / Causing or inciting a male child under 13 to engage in sexual activity - no penetration / CJS: SX03020 / Sexual activity with a female child under 13 Ð offender 18 or over - penetration / CJS: SX03023 / Sexual activity with a male child under 13 Ð offender 18 or over - penetration / CJS: SX03024 / Sexual activity with a female child under 16 Ð offender 18 or over - penetration / CJS: SX03025 / Sexual activity with a male child under 16 - offender 18 or over - penetration / CJS: SX03026,6 months or L5 or both / - / - / - / - / - / - / - / -,S 20/06 / S 21/02 / S 21/04 / S 21/03 / S 21/05 / S 21/06 / S 21/07 / S 22/06 / S 22/07,S 20/06 / S 21/02 / S 21/04 / S 21/03 / S 21/05 / S 21/06 / S 21/07 / S 22/06 / S 22/07,S 20/06 / - / - / - / - / - / - / - / -,14 years / Life / Life / 14 years / 14 years / 14 years / 14 years / 14 years / 14 years,S 20/06 / S 21/02 / S 21/04 / S 21/03 / S 21/05 / S 21/06 / S 21/07 / S 22/06 / S 22/07,S 20/06 / - / - / - / - / - / - / - / - / -,Yes,2009 or earlier
2118,Sexual Offences Act 2003,"S.9(1)(a), (b) & (c)(ii) & (3)",Sexual activity with a female child under 13 - offender aged 18 or over - no penetration / CJS: SX03156,6 months or L5 or both,S 21/18,,S 21/18,14 years,S 21/06,S 21/18,Yes,2009 or earlier
2119,Sexual Offences Act 2003 ,"S.9(1)(a), (b) & (c)(ii) & (3)",Sexual activity with a male child under 13 - offender aged 18 or over - no penetration / CJS: SX03157,6 months or L5 or both,S 21/19,S 21/19,S 21/19,14 years,S 21/19,S 21/19,Yes,2009 or earlier
2218,Sexual Offences Act 2003 ,"S.9(1)(a), (b) & (c)(i) & (3)",Sexual activity with a female child under 16 offender aged 18 or over - no penetration / CJS: SX03158,6 months or L5 or both,S 22/18,S 22/18,S 22/18,14 years,S 22/18,S 2 2/18,Yes,2009 or earlier
2219,Sexual Offences Act 2003 ,"S.9(1)(a), (b) & (c)(i) & (3)",Sexual activity with a male child under 16 offender aged 18 or over - no penetration / CJS: SX03159,6 months or L5 or both,S 22/19,S 22/19,S 22/19,14 years,S 22/19,S 22/19,Yes,2009 or earlier
2122,Sexual Offences Act 2003,"SS.9(1)(a), (b), (c)(ii) & (3) & 13",Sexual activity with a female child under13 - offender aged under 18 - no penetration / CJS: SX03164,6 months or L5 or both,S 21/22,S 21/22,S 21/22,5 years,S 21/22,S 21/22,Yes,2009 or earlier
2123,Sexual Offences Act 2003 ,"SS.9(1)(a), (b), (c)(ii) & (3) & 13",Sexual activity with a male child under13 - offender aged under 18 - no penetration / CJS: SX03165,6 months or L5 or both,S 21/23,S 21/23,S 21/23,5 years,S 21/23,S 21/23,Yes,2009 or earlier
2222,Sexual Offences Act 2003 ,"SS.9(1)(a), (b), (c)(i) & (3) & 13",Sexual activity with a female child under 16 - offender aged under 18 - no penetration / CJS: SX03166,6 months or L5 or both,S 22/22,S 22/22,S 22/22,5 years,S 22/22,S 22/22,Yes,2009 or earlier
2223,Sexual Offences Act 2003 ,"SS.9(1)(a), (b), (c)(i) & (3) & 13",Sexual activity with a male child under 16 - offender aged under 18 - no penetration / CJS: SX03167,6 months or L5 or both,S 22/23,S 22/23,S 22/23,5 years,S 22/23,S 22/23,Yes,2009 or earlier
2112,Sexual Offences Act 2003 ,"SS.9(1)(a), (b ) & (c)(ii) & (2) & 13",Sexual activity with a female child under 13 - offender under 18 - penetration / SX03035,6 months or L5 or both,S 21/12,S 21/12,S 21/12,5 years,S 21/12,S 21/12,Yes,2009 or earlier
2113,Sexual Offences Act 2003 ,"SS.9(1)(a), (b) & (c)(ii) & (2) & 13",Sexual activity with a male child under 13 - offender aged under 18 - penetration / SX03039,6 months or L5 or both,S 21/13,S 21/13,S 21/13,5 years,S 21/13,S 21/13,Yes,2009 or earlier
2212,Sexual Offences Act 2003,"SS.9(1)(a), (b) & (c)(i) & (2) & 13",Sexual activity with a female child under 16 - offender under 18 - penetration / SX03037,6 months or L5 or both,S 22/12,S 22/12,S 22/12,5 years,S 22/12,S 22/12,Yes,2009 or earlier
2213,Sexual Offences Act 2003 / Sexual Offences Act 2003 / Sexual Offences Act 2003 / Sexual Offences Act 2003 ,"SS.9(1)(a), (b) & (c)(i) & (2) & 13 / S.10(1)(a), (b) & (c)(i) & (2) / S.10(1)(a), (b) & (c)(i) & (2) / S.10(1)(a), (b) & (c)(ii) & (2) / S.10(1)(a), (b) & (c)(ii) & (2)",Sexual activity with a male child under 16 - offender under 18 - penetration / SX03038 / Causing or inciting a female child under 16 to engage in sexual activity - offender 18 or over - penetration / SX03029 / Causing or inciting a male child under 16 to engage in sexual activity - offender 18 or over - penetration / SX03030 / Causing or inciting a female child under 13 to engage in sexual activity - offender 18 or over - penetration / SX03027 / Causing or inciting a male child under 13 to engage in sexual activity - offender 18 or over - penetration / CJS: SX03028,6 months or L5 or both / - / - / - / -,S 22/13 / S 22/08 / S 22/09 / S 21/08 / S 21/09,S 22/13 / S 22/08 / S 22/09 / S 21/08 / S 21/09,S 22/13 / - / - / - / -,5 years / 14 years / 14 years / 14 years / 14 years,S 22/13 / S 22/08 / S 22/09 / S 21/08 / S 21/09,S 22/13 / - / - / - / -,Yes,2009 or earlier
2220,Sexual Offences Act 2003,"S.10(1)(a), (b) & (c)(i) & (3)",Causing or inciting a female child under 16 to engage in sexual activity - offender 18 or over - no penetration / CJS: SX03162,6 months or L5 or both,S 22/20,S 22/20,S 22/20,14 years,S 22/20,S 22/20,Yes,2009 or earlier
2221,Sexual Offences Act 2003,"S.10(1)(a), (b) & (c)(i) & (3)",Causing or inciting a male child under 16 to engage in sexual activity - offender 18 or over - no penetration / CJS: SX03163,6 months or L5 or both,S 22/21,S 22/21,S 22/21,14 years,S 22/21,S 22/21,Yes,2009 or earlier
2120,Sexual Offences Act 2003 ,"S.10(1)(a), (b) & (c)(ii) & (3)",Causing or inciting a female child under 13 to engage in sexual activity - offender 18 or over - no penetration / CJS: SX03160,6 months or L5 or both,S 21/20,S 21/20,S 21/20,14 years,S 21/20,S 21/20,Yes,2009 or earlier
2121,Sexual Offences Act 2003 ,"S.10(1)(a), (b) & (c)(ii) & (3)",Causing or inciting a male child under 13 to engage in sexual activity - offender 18 or over - no penetration / CJS: SX03161,6 months or L5 or both,S 21/21,S 21/21,S 21/21,14 years,S 21/21,S 21/21,Yes,2009 or earlier
2214,Sexual Offences Act 2003 ,"SS.10(1)(a), (b) & (c)(i) & (2) & 13",Causing or inciting a female child under 16 to engage in sexual activity - offender under 18 / CJS: SX03041,6 months or L5 or both,S 22/14,S 22/14,S 22/14,5 years,S 22/14,S 22/14,Yes,2009 or earlier
2215,Sexual Offences Act 2003 ,"SS.10(1)(a), (b) & (c)(i) & (2) & 13",Causing or inciting a male child under 16 to engage in sexual activity - offender under 18 / CJS: SX03042,6 months or L5 or both,S 22/15,S 22/15,S 22/15,5 years,S 22/15,S 22/15,Yes,2009 or earlier
2114,Sexual Offences Act 2003 ,"SS.10(1)(a), (b) & (c)(ii) & (2) & 13",Causing or inciting a female child under 13 to engage in sexual activity - offender under 18 / CJS: SX03039,6 months or L5 or both,S 21/14,S 21/14,S 21/14,5 years ,S 21/14,S 22/14,Yes,2009 or earlier
2115,Sexual Offences Act 2003 ,"SS.10(1)(a), (b) & (c)(ii) & (2) & 13",Causing or inciting a male child under 13 to engage in sexual activity - offender under 18 / CJS: SX03040,6 months or L5 or both,S 21/15,S 21/15,S 21/15,5 years,S 21/15,S 21/15,Yes,2009 or earlier
2224,Sexual Offences Act 2003 ,"SS.10(1)(a), (b), (c)(i) & (3) & 13",Causing or inciting a female child under 16 to engage in sexual activity - offender under 18 - no penetration / CJS: SX03170,6 months or L5 or both,S 22/24,S 22/24,S 22/24,5 years,S 22/24,S 22/24,Yes,2009 or earlier
2225,Sexual Offences Act 2003 ,"SS.10(1) (a), (b), (c)(i) & (3) & 13",Causing or inciting a male child under 16 to engage in sexual activity - offender under 18 - no penetration / CJS: SX03171,6 months or L5 or both,S 22/25,S 22/25,S 22/25,5 years,S 22/25,S 22/25,Yes,2009 or earlier
2124,Sexual Offences Act 2003 ,"SS.10(1)(a), (b), (c)(ii) & (3) & 13",Causing or inciting a female child under 13 to engage in sexual activity - offender under 18 - no penetration / CJS: SX03168,6 months or L5 or both,S 21/24,S 21/24,S 21/24,5 years,S 21/24,S 22/24,Yes,2009 or earlier
2125,Sexual Offences Act 2003,"SS.10(1)(a), (b), (c)(ii) & (3) & 13",Causing or inciting a male child under 13 to engage in sexual activity - offender under 18 - no penetration / CJS: SX03169,6 months or L5 or both,S 21/25,S 21/25,S 21/25,5 years,S 21/25,S 21/25,Yes,2009 or earlier
2210,Sexual Offences Act 2003 ,"S.11(1)(a), (b) & (d)(i) & (2)",Engaging in sexual activity in the presence of a child under 16 - offender 18 or over / CJS: SX03032,6 months or L5 or both,S 22/10,S 22/10,S 22/10,10 years,S 22/10,S 22/10,Yes,2009 or earlier
2110,Sexual Offences Act 2003,"S.11(1)(a), (b), (c) & (d)(ii) & (2)",Engaging in sexual activity in the presence of a child under 13 - offender 18 or over / CJS: SX03031,6 months or L5 or both,S 21/10,S 21/10,S 21/10,10 years ,S 21/10 ,S 21/10,Yes,2009 or earlier
2216,Sexual Offences Act 2003 ,"SS.11(1)(a), (b) & (d)(i) & (2) & 13",Engaging in sexual activity in the presence of a child under 16 - offender under 18 / CJS: SX03044,6 months or L5 or both,S 22/16,S 22/16,S 22/16,5 years,S 22/16,S 22/16,Yes,2009 or earlier
2116,Sexual Offences Act 2003,"SS.11(1)(a), (b), (c) & (d)(ii) & (2) & 13",Engaging in sexual activity in the presence of a child under 13 - offender under18 / CJS: SX03043,6 months or L5 or both,S 21/16,S 21/16,S 21/16,5 years,S 21/16,S 21/16,Yes,2009 or earlier
2211,Sexual Offences Act 2003 ,"S.12(1)(a), (b) & (c)(i) & (2)",Causing a child under 16 to watch a sexual act - offender 18 or over / CJS: SX03034,6 months or L5 or both,S 22/11,S 22/11,S 22/11,10 years,S 22/11,S 22/11,Yes,2009 or earlier
2111,Sexual Offences Act 2003 ,"S.12(1)(a), (b) & (c)(ii) & (2)",Causing a child under 13 to watch a sexual act Ð offender 18 or over / CJS: SX03033,6 months or L5 or both,S 21/11,S 21/11,S 21/11,10 years ,S 21/11,S 21/11,Yes,2009 or earlier
2217,Sexual Offences Act 2003,"SS.12(1)(a), (b) & (c)(i) & (2) & 13",Causing a child under 16 to watch a sexual act Ð offender under 18 / CJS: SX03046,6 months or L5 or both,S 22/17 ,S 22/17,S 22/17,5 years ,S 22/17 ,S 22/17,Yes,2009 or earlier
2117,Sexual Offences Act 2003,"SS.12(1)(a), (b) & (c)(ii) & (2) & 13",Causing a child under 13 to watch a sexual act Ð offender under 18 / CJS: SX03045,6 months or L5 or both,S 21/17,S 21/17,S 21/17,5 years,S 21/17,S 21/17,Yes,2009 or earlier
7101,Sexual Offences Act 2003 ,S.14,Arranging or facilitating the commission of a child sex offence / CJS: SX03047,6 months or L5 or both,S 71/01,S 71/01,S 71/01,14 years,S 71/01,S 71/01,Yes,2009 or earlier
8801,Sexual Offences Act 2003 ,S.15,Meeting a female child following sexual grooming etc. - offender 18 or over and victim under 16 / CJS: SX03048,6 months or L5 or both,S 88/01 ,S 88/01,S 88/01,10 years,S 88/01,S 88/01,Yes,2009 or earlier
8802,Sexual Offences Act 2003 ,S.15,Meeting a male child following sexual grooming etc. - offender 18 or over and victim under 16 / CJS: SX03049,6 months or L5 or both,S 88/02,S 88/02,S 88/02,10 years,S 88/02,S 88/02,Yes,2009 or earlier
7307,Sexual Offences Act 2003,S.16(1)(e)(i) & (2) - (5),Abuse of a position of trust: sexual activity with a female child - offender 18 or over and victim 13-17 / CJS: SX03052,6 months or L5 or both,S 73/07,S 73/07,S 73/07,5 years,S 73/07,S 73/07,Yes,2009 or earlier
7308,Sexual Offences Act 2003 ,S.16(1)(e)(i) & (2) - (5),Abuse of a position of trust: sexual activity with a male child - offender 18 or over and victim 13-17 / CJS: SX03053,6 months or L5 or both,S 73/08,S 73/08,S 73/08,5 years,S 73/08,S 73/08,Yes,2009 or earlier
7313,Sexual Offences Act 2003 ,S.16(1)(e)(ii) & (2) - (5),Abuse of a position of trust: sexual activity with a female child - offender 18 or over and victim under 13 / CJS: SX03050,6 months or L5 or both,S 73/13,S 73/13,S 73/13,5 years,S 73/13,S 73/13,Yes,2009 or earlier
7314,Sexual Offences Act 2003 ,S.16(1)(e)(ii) & (2) - (5),Abuse of a position of trust: sexual activity with a male child - offender 18 or over and victim under 13 / CJS: SX03051,6 months or L5 or both,S 73/14,S 73/14,S 73/14,5 years,S 73/14,S 73/14,Yes,2009 or earlier
7309,Sexual Offences Act 2003,S.17(1)(e)(i) & (2) - (5),Abuse of a position of trust: causing or inciting a female child to engage in sexual activity Ð offender 18 or over and victim 13-17 / CJS: SX03056,6 months or L5 or both,S 73/09 ,S 73/09,S 73/09,5 years,S 73/09,S 73/09,Yes,2009 or earlier
7310,Sexual Offences Act 2003 ,S.17(1)(e)(i) & (2) - (5),Abuse of a position of trust: causing or inciting a male child to engage in sexual activity - offender 18 or over and victim 13-17 / CJS: SX03057,6 months or L5 or both,S 73/10 ,S 73/10,S 73/10,5 years,S 73/10,S 73/10,Yes,2009 or earlier
7315,Sexual Offences Act 2003 ,S.17(1)(e)(ii) & (2) - (5),Abuse of a position of trust: causing or inciting a female child to engage in sexual activity Ð offender 18 or over and victim under 13 / CJS: SX03054,6 months or L5 or both,S 73/15,S 73/15 ,S 73/15,5 years,S 73/15,S 73/15,Yes,2009 or earlier
7316,Sexual Offences Act 2003 ,S.17(1)(e)(ii) & (2) - (5),Abuse of a position of trust: causing or inciting a male child to engage in sexual activity - offender 18 or over and victim under 13 / CJS: SX03055,6 months or L5 or both,S 73/16,S 73/16,S 73/16,5 years,S 73/16,S 73/16,Yes,2009 or earlier
7311,Sexual Offences Act 2003,S.18(1)(f)(i) & (2) - (5),Abuse of a position of trust: sexual activity in the presence of a child - offender 18 or over and victim 13-17 / CJS: SX03059,6 months or L5 or both,S 73/11,S 73/11,S 73/11,5 years,S 73/11,S 73/11,Yes,2009 or earlier
7317,Sexual Offences Act 2003,S.18(1)(f)(ii) & (2) - (5),Abuse of a position of trust: sexual activity in the presence of a child - offender 18 or over and victim under 13 / CJS: SX03058,6 months or L5 or both,S 73/17,S 73/17,S 73/17,5 years,S 73/17,S 73/17,Yes,2009 or earlier
7312,Sexual Offences Act 2003 ,S.19(1)(e)(i) & (2) - (5),Abuse of a position of trust: causing a child to watch a sexual act - offender 18 or over and victim 13-17 / CJS: SX03059,6 months or L5 or both,S 73/12,S 73/12,S 73/12,5 years,S 73/12,S 73/12 ,Yes,2009 or earlier
7318,Sexual Offences Act 2003 ,S.19(1) (e)(ii) & (2) - (5),Abuse of a position of trust: causing a child to watch a sexual act - offender 18 or over and victim under 13 / CJS: SX03060,6 months or L5 or both,S 73/18,S 73/18,S 73/18,5 years,S 73/18,S 73/18 ,Yes,2009 or earlier
2322,Sexual Offences Act 2003 ,"S.25(1)(e)(i), (2), (3) & (4)(b)",Sexual activity with a female child family member - offender 18 or over at time of offence and victim 13-17 - no penetration / CJS: SX03174,6 months or L5 or both,S 23/22,S 23/22,S 23/22,14 years,S 23/22,S 23/22,Yes,2009 or earlier
2323,Sexual Offences Act 2003 / Sexual Offences Act 2003 / Sexual Offences Act 2003,"S.25(1)(e)(i), (2), (3) & (4)(b) / S.25(1)(e)(i), (2), (3), (4)(a) & (6) / S.25(1)(e)(i), (2), (3), (4)(a) & (6)",Sexual activity with a male child family member - offender 18 or over at time of offence and victim 13-17 - no penetration / CJS: SX03175 / Sexual activity with a female child family member - offender 18 or over at time of offence and victim 13-17 - penetration / CJS: SX03068 / Sexual activity with a male child family member - offender 18 or over at time of offence and victim 13-17 - penetration / CJS: SX03069,6 months or L5 or both / - / -,S 23/23 / S 23/04 / S 23/05,S 23/23 / S 23/04 / S 23/05,S 23/23 / - / -,14 years,S 23/23 / S 23/04 / S 23/05,S 23/23 / - / - ,Yes,2009 or earlier
2306,Sexual Offences Act 2003,"S.25(1) (e)(i), (2), (3) & (5)",Sexual activity with a female child family member - offender under 18 at time of offence and victim 13-17 Ð no penetration / CJS: SX03066,6 months or L5 or both,S 23/06,S 23/06,S 23/06,5 years,S 23/06,S 23/06 ,Yes,2009 or earlier
2307,Sexual Offences Act 2003,"S.25(1)(e)(i), (2), (3) & (5)",Sexual activity with a male child family member - offender under 18 at time of offence and victim 13-17Ð no penetration / CJS: SX03067,6 months or L5 or both,S 23/07,S 23/07,S 23/07,5 years,S 23/07,S 23/07 ,Yes,2009 or earlier
2332,Sexual Offences Act 2003 ,"S.25(1)(e)(i), (2), (3), (5) & (6)","Sexual activity with a female child family member - offender under 18 at time of offence and victim 13-17 - penetration of anus, vagina or mouth by penis or other part of body / CJS: SX03183",6 months or L5 or both,S 23/32,S 23/32,S 23/32,5 years,S 23/32,S 23/32,Yes,2009 or earlier
